Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,banglore,chennai,delhi,hyderabad,kolkata,mumbai
Krishna Kunja | Rooms & Caretaker,4.6,Excellent,99,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,"1,440",418,0,0,0,0,1,0
Aristocrat Hotel,3.7,Very Good,262,4,New Town,,,"1,966",409,0,0,0,0,1,0
The Fern Residency Kolkata,3.8,Very Good,1051,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"2,462",582,0,0,0,0,1,0
Sapphire Suites,3.8,Very Good,776,3,New Market Area ,Park Street,780 m ,"3,089",631,0,0,0,0,1,0
Victoria Hotel,4,Very Good,862,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,"2,388",720,0,0,0,0,1,0
The Pearl Hotel,3.3,Good,608,3,Beliaghata ,Salt Lake Stadium,840 m ,"1,517",484,0,0,0,0,1,0
The Astor,4.2,Very Good,933,4,Park Street Area,,,"4,502",920,0,0,0,0,1,0
Barsana Boutique Hotel (Pure vegetarian),4.2,Very Good,296,3,Tangra,,,"3,767",770,0,0,0,0,1,0
THE MAUREEN KOLKATA,4,Very Good,1441,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"3,188",671,0,0,0,0,1,0
The Aster Penthouse,4.2,Very Good,12,,Ballygunge ,Park Street,960 m ,"1,766",532,0,0,0,0,1,0
The Firangipani Suites,4,Very Good,106,3,New Town,,,"1,980",484,0,0,0,0,1,0
Celesta,4.1,Very Good,1087,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"3,085",842,0,0,0,0,1,0
HOTEL EASTERN PLAZA,3.3,Good,1312,3,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"1,192",331,0,0,0,0,1,0
Hotel Aura,3.6,Very Good,432,3,New Market Area,,,"2,106",599,0,0,0,0,1,0
Viceroy Kolkata (Boutique Hotel),3.8,Very Good,1077,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,"2,562",523,0,0,0,0,1,0
Beyzaa Hotel & Suites (Brewery Hotel),4.2,Very Good,593,4,Salt Lake City,,,"4,589",551,0,0,0,0,1,0
The CORPORATE,3.4,Good,577,3,Park Street ,Park Street,130 m ,"3,086",867,0,0,0,0,1,0
Hotel Trimoorti,3.6,Very Good,1375,3,Bhowanipore,,,"1,488",476,0,0,0,0,1,0
Bubble Beds,3.9,Very Good,376,,Kalighat ,Kalighat Kali Temple,960 m ,597,161,0,0,0,0,1,0
The Opus Kolkata - A Boutique Hotel,3.9,Very Good,376,3,Bhowanipore,,,"2,372",485,0,0,0,0,1,0
Hotel Crest Inn,3.7,Very Good,975,,Park Circus,,,"1,260",382,0,0,0,0,1,0
Golden Parkk,3.6,Very Good,219,3,Park Street Area ,Park Street,960 m ,"3,767",770,0,0,0,0,1,0
Hotel The Crest,3.8,Very Good,324,,Park Circus,,,"1,328",384,0,0,0,0,1,0
Park Victoria Hotel,3.4,Good,383,,New Market Area ,Park Street,250 m ,"1,507",308,0,0,0,0,1,0
The Samilton,4,Very Good,777,3,Bhowanipore,,,"3,499",420,0,0,0,0,1,0
Treebo Trend Orion Sapphire Beck Bagan,3.8,Very Good,127,,Park Street ,Park Street,770 m ,"2,540",530,0,0,0,0,1,0
Eennra Oiitijhyya,4.4,Excellent,142,3,Keyatala,,,"1,994",567,0,0,0,0,1,0
The Aster Heritage Homestay | Rooms & Caretaker,4.3,Excellent,115,,New Market Area ,Park Street,60 m ,"2,452",660,0,0,0,0,1,0
Basera Guest House,4.1,Very Good,635,,Gariahat,,,"1,000",289,0,0,0,0,1,0
LYNQ-CICO - Hotel,3.8,Very Good,634,3,Alipore,,,"2,372",576,0,0,0,0,1,0
The Lake Hotel,3.7,Very Good,396,3,Dhakuria,,,"1,986",528,0,0,0,0,1,0
The Aster Heritage Gold,4.4,Excellent,17,,New Market Area ,Park Street,50 m ,"4,723","1,320",0,0,0,0,1,0
Treebo Tryst Tahoora International Park Street,3.7,Very Good,70,3,Park Street ,Park Street,100 m ,"3,257",680,0,0,0,0,1,0
Southern Plaza,3.8,Very Good,276,3,Kalighat,,,"3,201",674,0,0,0,0,1,0
DIAMOND PLAZA,3.8,Very Good,736,,Bow Bazaar ,College Street,800 m ,"1,850",438,0,0,0,0,1,0
Lytton Hotel,3.6,Very Good,431,3,New Market Area ,Park Street,560 m ,"3,004",711,0,0,0,0,1,0
Dorota House | Room & Caretaker,4,Very Good,73,,Salt Lake City,,,"1,365",412,0,0,0,0,1,0
Hotel O2 VIP,3.9,Very Good,356,3,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,212",481,0,0,0,0,1,0
Hotel Gateway Continental,3.8,Very Good,600,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.3 km ,"2,800",737,0,0,0,0,1,0
Hotel Air View,4,Very Good,539,,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.8 km ,"1,078",255,0,0,0,0,1,0
Hotel Casa Fortuna,3.9,Very Good,693,3,Park Street Area,,,"3,934",950,0,0,0,0,1,0
Middleton Inn,3.5,Very Good,264,3,Park Street ,Park Street,710 m ,"2,590",545,0,0,0,0,1,0
Hotel Sawood International,3.6,Very Good,687,3,Tangra,,,"2,122",560,0,0,0,0,1,0
The Orchid Hotel Mumbai Vile Parle,4,Very Good,5593,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,"6,499",780,0,0,0,0,0,1
Trident Bandra Kurla,4.6,Excellent,4987,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,"8,750",,0,0,0,0,0,1
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,5,South Mumbai ,Cooper hospital,620 m ,"14,000",,0,0,0,0,0,1
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"5,099",612,0,0,0,0,0,1
Trident Nariman Point,4.6,Excellent,5563,5,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,"11,250",,0,0,0,0,0,1
The Lalit Mumbai,4.1,Very Good,6468,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,"11,160","3,000",0,0,0,0,0,1
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,"3,679",,0,0,0,0,0,1
"Taj Santacruz, Mumbai",4.6,Excellent,4563,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,"9,000",,0,0,0,0,0,1
Hotel Surya Prakash,3.9,Very Good,121,3,Chembur,,,"3,939",968,0,0,0,0,0,1
Hilton Mumbai International Airport,4.2,Very Good,1686,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,"9,100",,0,0,0,0,0,1
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"6,999",,0,0,0,0,0,1
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,,South Mumbai,,,816,211,0,0,0,0,0,1
The Regale by Tunga,4.1,Very Good,4946,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"4,427",932,0,0,0,0,0,1
"Taj Lands End, Mumbai",4.5,Excellent,4222,5,Bandra West ,Band Stand,230 m ,"11,000",,0,0,0,0,0,1
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"7,095","2,136",0,0,0,0,0,1
Sahara Star,4.2,Very Good,7303,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,"10,400","1,872",0,0,0,0,0,1
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,160",341,0,0,0,0,0,1
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,"7,500",,0,0,0,0,0,1
The Westin Mumbai Garden City,4.4,Excellent,1431,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,"9,000",,0,0,0,0,0,1
JW Marriott Mumbai Juhu,4.4,Excellent,1731,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,"12,500",,0,0,0,0,0,1
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,"10,030",,0,0,0,0,0,1
City Stay,4.6,Excellent,214,,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"1,229",370,0,0,0,0,0,1
JW Marriott Mumbai Sahar,4.5,Excellent,2139,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,"9,500",,0,0,0,0,0,1
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,5,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,"7,000",,0,0,0,0,0,1
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,550","1,539",0,0,0,0,0,1
The Leela Mumbai,4.5,Excellent,2861,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"10,500",,0,0,0,0,0,1
Novotel Mumbai International Airport,4.4,Excellent,102,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,"8,299",,0,0,0,0,0,1
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,"7,499",,0,0,0,0,0,1
Sun-N-Sand,4.2,Very Good,2353,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"8,835","2,660",0,0,0,0,0,1
The St. Regis Mumbai,4.5,Excellent,1328,5,South Mumbai ,Tata memorial cancer hospital,640 m ,"12,500",,0,0,0,0,0,1
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,Very Good,1443,4,In Mumbai Airport ,,,"9,303","2,501",0,0,0,0,0,1
Zostel Mumbai,4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285,0,0,0,0,0,1
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",,0,0,0,0,0,1
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",,0,0,0,0,0,1
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",,0,0,0,0,0,1
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",,0,0,0,0,0,1
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,"9,000",,0,0,0,0,0,1
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,4,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,"4,975","1,806",0,0,0,0,0,1
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,4,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,"5,275","1,430",0,0,0,0,0,1
Ramee Techome,4,Very Good,1173,4,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,"6,231","1,273",0,0,0,0,0,1
Shabana,3.5,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,"1,304",355,0,0,0,0,0,1
Hotel Bawa International,4,Very Good,1817,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,"5,000",,0,0,0,0,0,1
"Ginger Mumbai, Goregaon",3.8,Very Good,478,4,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,"3,224",,0,0,0,0,0,1
Grand Hyatt Mumbai,4.3,Excellent,1855,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"10,000",,0,0,0,0,0,1
Hotel Marine Plaza,4.2,Very Good,1292,5,Churchgate ,Queen's Necklace - Marine Drive,270 m ,"9,449","1,701",0,0,0,0,0,1
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"3,566","1,294",0,0,0,0,0,1
Hotel Airport International,3.7,Very Good,3139,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,"3,255",770,0,0,0,0,0,1
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"3,035",935,0,0,0,0,0,1
Four Seasons Hotel Mumbai,4.4,Excellent,1863,5,South Mumbai,,,"49,000",,0,0,0,0,0,1
Gateway Inn | Rooms in an Apartment,3.2,Good,356,,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"1,839",495,0,0,0,0,0,1
"The Oberoi, Mumbai",4.7,Excellent,876,5,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,"16,750",,0,0,0,0,0,1
Hotel Jyoti Dwelling,4.2,Very Good,1539,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,"2,232",456,0,0,0,0,0,1
Indie Stays,3.9,Very Good,1406,3,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"6,975","1,425",0,0,0,0,0,1
Meluha - The Fern,4.4,Excellent,2189,5,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,"7,109","1,911",0,0,0,0,0,1
Afra dormitory,4.8,Excellent,4,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,848,228,0,0,0,0,0,1
Hotel Airlink,3.8,Very Good,387,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,950 m ,"3,204",798,0,0,0,0,0,1
The Fern Goregaon,4.2,Very Good,1842,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.9 km ,"7,988","2,405",0,0,0,0,0,1
Mirage Hotel,4.1,Very Good,1820,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"6,126","1,251",0,0,0,0,0,1
RELOhomes | 1 BHK Apartment,4.6,Excellent,45,,Powai ,T2 - Chhatrapati Shivaji International Airport,7.7 km ,"5,721","1,420",0,0,0,0,0,1
Click Hotel Caliph,3.3,Good,834,3,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,"4,500",,0,0,0,0,0,1
HOTEL LEAFIO MARIGOLD,3.7,Very Good,1387,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,162",748,0,0,0,0,0,1
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Very Good,1528,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"3,623","1,288",0,0,0,0,0,1
Hotel Sea Princess,4.1,Very Good,1762,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"7,952","2,138",0,0,0,0,0,1
HOTEL WEGO,4.1,Very Good,1335,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,495","1,128",0,0,0,0,0,1
Rodas - An Ecotel Hotel,4.4,Excellent,795,3,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,"7,998","2,150",0,0,0,0,0,1
The Westin Mumbai Powai Lake,4.3,Excellent,1282,5,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,"9,000",,0,0,0,0,0,1
Mayura Aureole Co-Living,4.2,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,"1,496",418,0,0,0,0,0,1
Sea Green Hotel,3.8,Very Good,1203,3,Churchgate ,Queen's Necklace - Marine Drive,450 m ,"4,692","1,265",0,0,0,0,0,1
ibis Mumbai Vikhroli - An Accor Brand,3.9,Very Good,327,4,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,"6,299",,0,0,0,0,0,1
Aboo's Concord Galaxy,3.3,Good,798,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,"3,228",831,0,0,0,0,0,1
The Paradise by Tunga,4,Very Good,1202,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,"5,864","1,424",0,0,0,0,0,1
Address Dormitory,4,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,404,113,0,0,0,0,0,1
Arnna Hotel - Goregaon,3.8,Very Good,135,3,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,"2,919",830,0,0,0,0,0,1
Ramee Guestline Hotel - Dadar,4.1,Very Good,774,4,South Mumbai,,,"6,814","1,612",0,0,0,0,0,1
Hotel Metro Palace,3.6,Very Good,1167,3,Bandra West ,Band Stand,2.5 km ,"4,064",495,0,0,0,0,0,1
Hotel Manama,3.5,Very Good,1566,3,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747,0,0,0,0,0,1
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176,0,0,0,0,0,1
T24 Residency,4,Very Good,2465,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",,0,0,0,0,0,1
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",,0,0,0,0,0,1
The Roa Hotel,3.7,Very Good,1300,3,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608,0,0,0,0,0,1
Hotel Leafio,3.5,Very Good,1919,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264,0,0,0,0,0,1
The Byke Delotel,3.8,Very Good,419,3,Borivali West,,,"3,183",903,0,0,0,0,0,1
The Empresa Hotel,3.8,Very Good,701,4,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458",0,0,0,0,0,1
HOTEL KOHINOOR PARK,3.8,Very Good,592,3,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118",0,0,0,0,0,1
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711,0,0,0,0,0,1
Hotel Parle International,3.7,Very Good,3158,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052",0,0,0,0,0,1
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249,0,0,0,0,0,1
Hotel Beacon T2,3.2,Good,955,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851,0,0,0,0,0,1
Hotel Columbus,3.6,Very Good,1401,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567,0,0,0,0,0,1
Sea Green South Hotel,3.9,Very Good,985,3,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389",0,0,0,0,0,1
Hotel Suba International,4.3,Excellent,683,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",,0,0,0,0,0,1
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145,0,0,0,0,0,1
The Resort Mumbai,4.2,Very Good,3937,5,Madh,,,"11,811","3,556",0,0,0,0,0,1
The Mirador,3.7,Very Good,384,4,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810,0,0,0,0,0,1
The Sahil Hotel,4.2,Very Good,1587,4,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100",0,0,0,0,0,1
Avion Hotel,3.3,Good,1154,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033",0,0,0,0,0,1
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189,0,0,0,0,0,1
Comfort Inn Heritage,3.9,Very Good,963,4,South Mumbai,,,"4,743","1,122",0,0,0,0,0,1
Hotel Planet Residency,3.8,Very Good,1064,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028",0,0,0,0,0,1
Hotel Kohinoor Elite,4.1,Very Good,2183,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",,0,0,0,0,0,1
Residency Hotel Andheri,4,Very Good,1866,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155",0,0,0,0,0,1
