Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,banglore,chennai,delhi,hyderabad,kolkata,mumbai
Holiday Inn Express Bengaluru Whitefield ITPL,3.5,Very Good,1242,3,Whitefield,,,"3,399",,1,0,0,0,0,0
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,"1,330",315,1,0,0,0,0,0
Ginger Bangalore (IRR),3.6,Very Good,1639,3,Domlur Layout,,,"1,689",,1,0,0,0,0,0
Gokulam Grand Hotel & Spa,4.1,Very Good,1537,5,Mathikere,,,"6,409","1,295",1,0,0,0,0,0
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191,3,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,"4,000",,1,0,0,0,0,0
Hotel Ramanashree Richmond Circle,3.8,Very Good,686,3,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,"2,792",564,1,0,0,0,0,0
SRS Suites,4.4,Excellent,20,,Koramangala,,,"3,178",806,1,0,0,0,0,0
JP CORDIAL,3.7,Very Good,1750,3,Majestic,,,"2,726",638,1,0,0,0,0,0
Taj Bangalore,4.6,Excellent,1172,5,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",,1,0,0,0,0,0
Radisson Bengaluru City Center,4.5,Excellent,1283,4,Ulsoor,,,"7,500",,1,0,0,0,0,0
The Pride Hotel Bangalore,3.8,Very Good,1526,4,Richmond road ,Cubbon Park,2.6 km ,"4,599",552,1,0,0,0,0,0
BloomSuites | Electronic City,4.1,Very Good,643,4,Electronic City,,,"5,000",,1,0,0,0,0,0
Southern Star Bangalore,3.9,Very Good,1320,4,Ashok Nagar ,MG Road,910 m ,"3,082",872,1,0,0,0,0,0
Royal Orchid Central Bangalore,3.7,Very Good,3836,4,Ulsoor ,MG Road,2.3 km ,"5,823",699,1,0,0,0,0,0
Shivas Galaxy Hotel,4.1,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604,1,0,0,0,0,0
The Bouvice,4.2,Very Good,151,,Koramangala,,,"2,279",624,1,0,0,0,0,0
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",,1,0,0,0,0,0
La Sara Grand (Formerly Known as Nandhana Grand),4,Very Good,838,3,Koramangala,,,"2,939",752,1,0,0,0,0,0
Zone By The Park Infantry,3.9,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,"4,252","1,021",1,0,0,0,0,0
The Chancery,3.9,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,"4,230",990,1,0,0,0,0,0
Nash Inn Electronic City,3.1,Good,321,,Electronic City,,,979,268,1,0,0,0,0,0
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159,5,Outer Ring Road,,,"8,000",,1,0,0,0,0,0
"Ginger Bangalore, Whitefield",3.7,Very Good,1198,3,Brookefield,,,"1,884",,1,0,0,0,0,0
Hotel Royal Orchid Bangalore,3.9,Very Good,2185,5,Domlur Layout,,,"7,268",872,1,0,0,0,0,0
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13,,Koramangala,,,"1,295",294,1,0,0,0,0,0
Silicon City Hotel,3.4,Good,695,4,Hosur road,,,"1,586",418,1,0,0,0,0,0
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928,4,Hebbal,,,"3,500",,1,0,0,0,0,0
Octave Himalaya Monarch,4,Very Good,2624,3,Gandhi Nagar,,,"1,645",333,1,0,0,0,0,0
Greenpark Bengaluru,4.7,Excellent,62,4,Bannerghatta Main road,,,"6,345","1,350",1,0,0,0,0,0
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,"11,700",,1,0,0,0,0,0
The Continentti Whitefield,4,Very Good,1189,3,Brookefield,,,"2,791",564,1,0,0,0,0,0
The Monarch Luxur,3.9,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,"3,723",752,1,0,0,0,0,0
Ballal Residency,3.9,Very Good,875,3,Residency Road ,MG Road,2.3 km ,"3,084",836,1,0,0,0,0,0
Hibernest Indiranagar,4.2,Very Good,142,,Indiranagar,,,"1,005",325,1,0,0,0,0,0
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876,4,Gandhi Nagar,,,"5,292",,1,0,0,0,0,0
"Click Hotel Bangalore, International Airport",4.2,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421,1,0,0,0,0,0
Omatra Hotel HSR,3.4,Good,91,,Outer Ring Road,,,"2,194",539,1,0,0,0,0,0
Svenska Design Hotel,3.3,Good,627,,Electronic City,,,"1,999",642,1,0,0,0,0,0
